kept_for,org,type,title,location,date,url
letter writing,Swing Left,LETTER_WRITING,Fridays at 4--Letter Writing and More! (4 pm Pacific/7 pm Eastern),Online,2026-06-05,https://www.mobilize.us/swingleft/event/274619/
letter writing,Third Act,LETTER_WRITING,Postcards to PA-08 in Weston -- available throughout the  weekend!,"Weston, MA",2026-06-06,https://www.mobilize.us/thirdact/event/958743/
letter writing,Swing Left,LETTER_WRITING,2026 SATURDAY WRITING PARTIES WITH SWING LEFT INLAND VALLEY!!!,Online,2026-06-06,https://www.mobilize.us/swingleft/event/885022/
letter writing,Swing Left,LETTER_WRITING,Write Postcards with Swing Left Monterey Peninsula!,"Carmel-by-the-Sea, CA",2026-06-09,https://www.mobilize.us/swingleft/event/754594/
letter writing,Swing Left,LETTER_WRITING,"100,000 Postcards Project - Swing Left - Carol Stream","Carol Stream, IL",2026-06-11,https://www.mobilize.us/swingleft/event/964337/
letter writing,Swing Left,LETTER_WRITING,In-person: Write to Voters with Mariya in Mountain View,"Mountain View, CA",2026-06-13,https://www.mobilize.us/swingleft/event/606914/
letter writing,Swing Left,LETTER_WRITING,Be on the Write Side of History - Join us!,"Saint Paul, MN",2026-06-15,https://www.mobilize.us/swingleft/event/959352/
letter writing,Swing Left,LETTER_WRITING,Writing on Wednesdays!,"Pasadena, CA",2026-06-24,https://www.mobilize.us/swingleft/event/920876/
letter writing,Swing Left,LETTER_WRITING,Lea(f) No Voter Behind - Join Us!,"Saint Paul, MN",2026-07-13,https://www.mobilize.us/swingleft/event/959357/
letter writing,Swing Left,LETTER_WRITING,Columbia IN-PERSON letter/postcard writing to Voters with SwingLeftHoCoMD,"Columbia, MD",2026-07-14,https://www.mobilize.us/swingleft/event/564439/
letter writing,Swing Left,LETTER_WRITING,Letter Writing on National Lazy Day? Yes!,"Saint Paul, MN",2026-08-10,https://www.mobilize.us/swingleft/event/959358/
online/national,Indivisible (national),SOLIDARITY_EVENT,TX-24 presents Echoes of TX Japanese Incarceration-From Seagoville to Crystal City TX,Online,2026-06-12,https://www.mobilize.us/indivisible/event/965807/
online/national,Indivisible (national),VISIBILITY_EVENT,FOUR SILENT MARCHES. ONE MESSAGE | Grand Haven | Hosted by: Good Trouble Indivisible,Online,2026-09-26,https://www.mobilize.us/indivisible/event/957098/
pledge,Indivisible (national),PLEDGE,Feet on the Streets - with a twist - tell Home Depot to get I C E out,"Chula Vista, CA",2026-06-12,https://www.mobilize.us/indivisible/event/873712/
pledge,Indivisible (national),PLEDGE,Take the TP (and Paper Towel) Quiz and Pledge,Online,2026-06-30,https://www.mobilize.us/indivisible/event/837359/
pledge,Indivisible (national),PLEDGE,(Learn to) Be a Conscious Consumer Everyday,Online,2026-06-30,https://www.mobilize.us/indivisible/event/889444/
postcard writing,Indivisible (national),POSTCARD_WRITING,Postcards for Decency and Democracy- Fairlawn,"Fairlawn, OH",2026-06-05,https://www.mobilize.us/indivisible/event/966978/
postcard writing,Indivisible (national),POSTCARD_WRITING,Madison County Flip the 6th! Postcards to grow our voter base!!,"Richmond, KY",2026-06-06,https://www.mobilize.us/indivisible/event/888815/
